Black Letherette Couch,200,85,1,6,2.55
Brown Letherette Couch,215,90,1,6.45,2.7
Glass Displays,43,37,2,1.29,1.11
Member storage Mk2,123,62,1,3.69,1.86
Injection Molder,68,83,1,2.04,2.49
Wood CNC,180,155,1,5.4,4.65
Wood CNC console,58,35,1,1.74,1.05
Table Saw Dewalt,195,85,1,5.85,2.55
Thickness Sander,95,65,1,2.85,1.95
Bandsaw,56,56,1,1.68,1.68
Dust collector,65,65,1,1.95,1.95
Backroom Storage Shelf,250,55,1,7.5
Tiag CNC,95,60,1,2.85,1.8
Jointer,118,90,1,3.54,2.7
Anvil,56,36,1,1.68,1.08
Forge,70,55,1,2.1,1.65
Grey Metal Shelf,92,23,1,2.76,0.69
Welder,72,40,1,2.16,1.2
